prompt_id,theme,prompt,negative_prompt_key,guidance_scale,num_inference_steps,seed
CP001,cyberpunk_city,"A rainy cyberpunk megacity at midnight, neon kanji signs reflected on wet asphalt, cinematic wide-angle shot",combined_default,7.5,30,1001
CP002,cyberpunk_city,"Street-level view of a cyberpunk alley packed with food stalls, holographic menus, dense steam and moody blue lighting",combined_default,7.5,30,1002
CP003,cyberpunk_city,"Aerial panorama of a cyberpunk skyline with colossal holograms, flying traffic lanes, and thunderclouds",combined_default,7.5,30,1003
CP004,cyberpunk_city,"Cyberpunk train station at dawn, chrome architecture, commuters in glowing coats, volumetric light beams",combined_default,7.5,30,1004
CP005,cyberpunk_city,"Neon-lit cyberpunk market district with robotic vendors, reflective puddles, and crowded sidewalks",combined_default,7.5,30,1005
CP006,cyberpunk_city,"A solitary detective under a transparent umbrella in a cyberpunk boulevard, pink and cyan bokeh lights",combined_default,7.5,30,1006
CP007,cyberpunk_city,"Cyberpunk rooftop garden above a megacity, bioluminescent plants, distant drone traffic, sunset haze",combined_default,7.5,30,1007
CP008,cyberpunk_city,"Underground cyberpunk nightclub entrance, glitch signage, smoke plumes, high-contrast portrait composition",combined_default,7.5,30,1008
CP009,cyberpunk_city,"Hyper-detailed cyberpunk financial district, mirrored skyscrapers, giant animated advertisements, overcast rain",combined_default,7.5,30,1009
CP010,cyberpunk_city,"Cyberpunk harbor with autonomous cargo ships, neon cranes, foggy atmosphere, cinematic realism",combined_default,7.5,30,1010
CP011,cyberpunk_city,"Narrow cyberpunk backstreet with tangled cables, vending machines, wet cobblestones, dramatic shadows",combined_default,7.5,30,1011
CP012,cyberpunk_city,"Cyberpunk hospital exterior, emergency drones landing, red-blue alarm lights, night rain",combined_default,7.5,30,1012
CP013,cyberpunk_city,"Futuristic cyberpunk university campus, holographic lecture boards, students with AR glasses, dusk lighting",combined_default,7.5,30,1013
CP014,cyberpunk_city,"Cyberpunk bridge over polluted river, neon graffiti, distant megatowers, noir color grading",combined_default,7.5,30,1014
CP015,cyberpunk_city,"High-speed chase through cyberpunk streets, motion blur, glowing billboards, cinematic framing",combined_default,7.5,30,1015
CP016,cyberpunk_city,"Cyberpunk taxi stand with autonomous cabs, holographic route maps, reflective metallic surfaces",combined_default,7.5,30,1016
CP017,cyberpunk_city,"Cyberpunk Chinatown festival, lantern drones, neon dragons, dense crowd, vibrant palette",combined_default,7.5,30,1017
CP018,cyberpunk_city,"A cyberpunk plaza with giant digital statue, rain-soaked tiles, atmospheric fog, ultra-detailed",combined_default,7.5,30,1018
CP019,cyberpunk_city,"Cyberpunk subway tunnel, maintenance bots, flickering neon strips, gritty texture",combined_default,7.5,30,1019
CP020,cyberpunk_city,"Cyberpunk apartment balcony overlooking endless city lights, synthwave sunset sky",combined_default,7.5,30,1020
CP021,cyberpunk_city,"Cyberpunk alley ramen shop scene, steam, backlit rain, shallow depth of field",combined_default,7.5,30,1021
CP022,cyberpunk_city,"Cyberpunk police checkpoint with armored drones, scanning beams, tense noir mood",combined_default,7.5,30,1022
CP023,cyberpunk_city,"Cyberpunk city during blackout, emergency neon backups, distant lightning, dramatic contrast",combined_default,7.5,30,1023
CP024,cyberpunk_city,"Futuristic cyberpunk temple between skyscrapers, holographic incense, reflective stone floor",combined_default,7.5,30,1024
